guest_id,hotel_id,final_price
guest_1,hotel_168,271.18
guest_2,hotel_369,133.0
guest_3,hotel_157,60.449999999999996
guest_4,hotel_235,136.0
guest_5,hotel_121,50.4
guest_6,hotel_343,197.47
guest_7,hotel_294,130.2
guest_8,hotel_110,134.4
guest_9,hotel_321,47.52
guest_10,hotel_60,242.0
guest_11,hotel_157,65.0
guest_12,hotel_215,110.39
guest_13,hotel_190,49.5
guest_14,hotel_229,231.23999999999998
guest_15,hotel_285,208.0
guest_16,hotel_383,161.98000000000002
guest_17,hotel_337,66.75
guest_18,hotel_215,126.35
guest_19,hotel_115,226.92
guest_20,hotel_30,100.98
guest_21,hotel_162,227.04
guest_22,hotel_163,107.88
guest_23,hotel_397,67.32
guest_24,hotel_341,298.0
guest_25,hotel_203,104.4
guest_26,hotel_253,270.27
guest_27,hotel_187,178.45
guest_28,hotel_75,172.53
guest_29,hotel_87,258.02
guest_30,hotel_63,261.0
guest_31,hotel_180,185.92
guest_32,hotel_227,172.85999999999999
guest_33,hotel_370,201.52
guest_34,hotel_109,58.29
guest_35,hotel_51,113.4
guest_36,hotel_360,63.0
guest_37,hotel_240,211.85999999999999
guest_38,hotel_375,243.88
guest_39,hotel_121,49.28
guest_40,hotel_242,54.72
guest_41,hotel_91,170.88
guest_42,hotel_35,120.15
guest_43,hotel_290,149.04000000000002
guest_44,hotel_361,197.1
guest_45,hotel_366,120.0
guest_46,hotel_266,147.03
guest_47,hotel_111,237.82
guest_48,hotel_186,168.32999999999998
guest_49,hotel_153,73.80000000000001
guest_50,hotel_221,167.45
guest_51,hotel_318,122.64
guest_52,hotel_42,121.77
guest_53,hotel_392,178.5
guest_54,hotel_179,162.45
guest_55,hotel_142,123.25
guest_56,hotel_70,68.85000000000001
guest_57,hotel_88,72.75
guest_58,hotel_114,160.20000000000002
guest_59,hotel_214,64.78
guest_60,hotel_269,123.19
guest_61,hotel_134,55.89
guest_62,hotel_336,220.89999999999998
guest_63,hotel_12,201.6
guest_64,hotel_130,135.78
guest_65,hotel_299,151.3
guest_66,hotel_15,47.6
guest_67,hotel_389,86.24
guest_68,hotel_277,269.76
guest_69,hotel_217,256.96
guest_70,hotel_24,50.349999999999994
guest_71,hotel_199,220.8
guest_72,hotel_295,69.16
guest_73,hotel_50,195.51999999999998
guest_74,hotel_8,226.56
guest_75,hotel_195,92.12
guest_76,hotel_152,152.28
guest_77,hotel_280,70.2
guest_78,hotel_252,62.08
guest_79,hotel_309,120.78
guest_80,hotel_121,53.76
guest_81,hotel_55,241.0
guest_82,hotel_283,69.58
guest_83,hotel_267,255.78
guest_84,hotel_237,231.57
guest_85,hotel_266,148.72
guest_86,hotel_277,236.04
guest_87,hotel_341,298.0
guest_88,hotel_246,106.67999999999999
guest_89,hotel_391,200.0
guest_90,hotel_60,198.44000000000003
guest_91,hotel_225,255.10999999999999
guest_92,hotel_260,165.48
guest_93,hotel_207,116.48
guest_94,hotel_61,131.88
guest_95,hotel_168,298.0
guest_96,hotel_88,66.75
guest_97,hotel_70,82.45
guest_98,hotel_24,50.879999999999995
guest_99,hotel_278,276.21
guest_100,hotel_73,230.51
guest_101,hotel_379,257.74
guest_102,hotel_3,141.0
guest_103,hotel_361,201.48000000000002
guest_104,hotel_331,207.68
guest_105,hotel_31,162.36
guest_106,hotel_281,146.85
guest_107,hotel_299,151.3
guest_108,hotel_200,172.98
guest_109,hotel_149,241.85999999999999
guest_110,hotel_341,295.02
guest_111,hotel_176,273.24
guest_112,hotel_221,175.33
