guest_id,hotel_id,final_price
guest_2087,hotel_259,186.15
guest_24,hotel_246,127.0
guest_2514,hotel_15,45.92
guest_1051,hotel_357,170.72
guest_2074,hotel_41,248.16
guest_1925,hotel_295,71.44
guest_3662,hotel_196,80.64
guest_528,hotel_263,215.79999999999998
guest_2205,hotel_318,146.0
guest_3369,hotel_150,67.22999999999999
guest_3875,hotel_325,201.39999999999998
guest_2913,hotel_286,196.64999999999998
guest_1848,hotel_329,212.71
guest_130,hotel_133,181.44
guest_3330,hotel_122,167.0
guest_3903,hotel_19,103.96000000000001
guest_3930,hotel_128,169.29
guest_689,hotel_25,176.79
guest_2365,hotel_179,138.51000000000002
guest_2442,hotel_114,170.88
guest_2023,hotel_276,237.65
guest_1143,hotel_343,182.28
guest_1852,hotel_189,60.589999999999996
guest_255,hotel_204,80.91
guest_661,hotel_255,156.52
guest_2642,hotel_152,149.04000000000002
guest_376,hotel_166,207.68
guest_3232,hotel_400,117.45
guest_1360,hotel_379,252.48
guest_3175,hotel_13,176.22
guest_517,hotel_178,232.20000000000002
guest_3015,hotel_15,49.28
guest_3770,hotel_378,182.35999999999999
guest_2368,hotel_71,148.75
guest_299,hotel_105,129.35999999999999
guest_2734,hotel_213,207.36
guest_3648,hotel_356,205.92
guest_3039,hotel_307,252.84
guest_1021,hotel_352,240.12
guest_529,hotel_379,241.96
guest_95,hotel_81,252.0
guest_2829,hotel_380,255.2
guest_315,hotel_78,126.64999999999999
guest_1112,hotel_142,142.1
guest_1173,hotel_200,171.12
guest_2729,hotel_310,211.85999999999999
guest_208,hotel_16,97.97
guest_3859,hotel_118,162.9
guest_3315,hotel_324,274.55
guest_919,hotel_356,189.28
guest_1514,hotel_299,139.4
guest_2130,hotel_379,244.58999999999997
guest_2363,hotel_105,124.08
guest_2498,hotel_63,243.6
guest_3726,hotel_176,255.42
guest_2538,hotel_254,219.45
guest_2574,hotel_388,234.52
guest_576,hotel_231,279.3
guest_2830,hotel_330,71.38
guest_2178,hotel_219,66.36
guest_1460,hotel_281,155.1
guest_572,hotel_394,241.53
guest_643,hotel_286,167.67000000000002
guest_1404,hotel_105,108.24000000000001
guest_1133,hotel_132,186.24
guest_3227,hotel_246,124.46
guest_2135,hotel_111,237.82
guest_2832,hotel_79,60.75000000000001
guest_2404,hotel_299,156.4
guest_2637,hotel_248,208.0
guest_3531,hotel_215,113.05
guest_2569,hotel_115,234.23999999999998
guest_3007,hotel_238,77.44
guest_2444,hotel_362,174.25
guest_2601,hotel_315,198.9
guest_1861,hotel_347,200.88
guest_2407,hotel_299,163.2
guest_3968,hotel_208,75.33
guest_3158,hotel_270,270.27
guest_3387,hotel_310,184.04
guest_928,hotel_371,142.79999999999998
guest_3920,hotel_75,195.96
guest_2066,hotel_118,146.61
guest_1541,hotel_263,226.2
guest_3785,hotel_84,216.0
guest_573,hotel_216,199.28
guest_3936,hotel_5,247.33999999999997
guest_3971,hotel_319,247.42000000000002
guest_3145,hotel_258,196.45999999999998
guest_1940,hotel_9,186.14000000000001
guest_1196,hotel_236,145.0
guest_62,hotel_12,210.56
guest_1959,hotel_30,84.66
guest_3082,hotel_10,195.36
guest_2746,hotel_333,161.5
guest_1315,hotel_53,50.96
guest_1742,hotel_278,234.35999999999999
guest_1953,hotel_339,70.3
guest_1913,hotel_383,165.54
guest_733,hotel_91,172.8
guest_3575,hotel_394,285.18
guest_1152,hotel_197,125.0
guest_809,hotel_150,72.09
guest_2868,hotel_152,142.56
guest_3171,hotel_337,63.75
guest_94,hotel_196,80.64
guest_1496,hotel_29,126.15
guest_3736,hotel_129,77.35000000000001
guest_810,hotel_333,153.0
guest_2836,hotel_50,187.20000000000002
guest_3065,hotel_116,105.78
guest_3202,hotel_212,205.0
guest_3669,hotel_44,204.12
guest_2513,hotel_261,194.36999999999998
guest_668,hotel_222,228.69
guest_3673,hotel_312,231.66000000000003
guest_896,hotel_24,44.519999999999996
guest_3242,hotel_124,255.0
guest_1984,hotel_75,176.79
guest_672,hotel_97,256.32
guest_2197,hotel_97,264.96000000000004
guest_2434,hotel_71,164.5
guest_3725,hotel_13,162.36
guest_2425,hotel_31,198.0
guest_3753,hotel_31,196.02
guest_1782,hotel_231,233.70000000000002
guest_2583,hotel_177,63.99
guest_256,hotel_60,215.38
guest_2029,hotel_141,220.16
guest_1644,hotel_163,97.44
guest_1557,hotel_240,186.18
guest_3698,hotel_371,157.92
guest_1781,hotel_229,223.86
guest_1006,hotel_341,274.16
guest_1827,hotel_156,193.79999999999998
guest_347,hotel_133,164.43
guest_1008,hotel_74,236.29999999999998
guest_3154,hotel_44,225.98999999999998
guest_1071,hotel_232,188.1
guest_3978,hotel_44,238.14
guest_437,hotel_287,137.6
