guest_id,hotel_id,final_price
guest_772,hotel_228,166.6
guest_3723,hotel_206,187.0
guest_114,hotel_182,151.35999999999999
guest_2337,hotel_109,65.66
guest_2473,hotel_191,212.5
guest_926,hotel_228,194.04
guest_359,hotel_268,70.81
guest_2756,hotel_156,228.0
guest_3648,hotel_18,284.13
guest_3402,hotel_191,232.49999999999997
guest_2615,hotel_64,189.88
guest_3224,hotel_59,113.67999999999999
guest_313,hotel_25,204.48
guest_2409,hotel_145,107.95
guest_1755,hotel_154,201.69
guest_2004,hotel_238,83.6
guest_2462,hotel_72,209.98999999999998
guest_1025,hotel_205,151.89
guest_2258,hotel_108,114.84
guest_3850,hotel_27,278.07
guest_228,hotel_338,127.67999999999999
guest_2587,hotel_371,137.76000000000002
guest_2487,hotel_246,104.14000000000001
guest_554,hotel_175,111.6
guest_3912,hotel_311,215.04999999999998
guest_1664,hotel_309,113.46
guest_3391,hotel_235,127.83999999999999
guest_3988,hotel_191,242.5
guest_3606,hotel_60,212.96
guest_481,hotel_119,216.81
guest_711,hotel_21,201.39999999999998
guest_2135,hotel_127,262.26
guest_2651,hotel_83,178.88
guest_824,hotel_201,243.88
guest_1046,hotel_235,126.47999999999999
guest_2663,hotel_6,51.62
guest_1240,hotel_32,161.67999999999998
guest_3574,hotel_226,156.04
guest_605,hotel_228,176.4
guest_1051,hotel_291,103.78999999999999
guest_2552,hotel_150,81.0
guest_673,hotel_112,79.53999999999999
guest_3204,hotel_334,69.72
guest_682,hotel_95,243.19
guest_92,hotel_150,68.03999999999999
guest_3575,hotel_222,226.38
guest_3147,hotel_266,165.62
guest_82,hotel_76,131.32
guest_3081,hotel_203,100.8
guest_943,hotel_377,140.28
guest_1673,hotel_379,252.48
guest_2057,hotel_307,252.84
guest_2212,hotel_255,176.54
guest_162,hotel_221,177.3
guest_1647,hotel_193,162.89000000000001
guest_3186,hotel_262,57.12
guest_2297,hotel_195,89.3
guest_1932,hotel_102,65.7
guest_1334,hotel_378,182.35999999999999
guest_1505,hotel_42,109.47
guest_3111,hotel_195,92.12
guest_2888,hotel_120,60.06
guest_2348,hotel_349,108.54
guest_2808,hotel_371,146.16
guest_1923,hotel_187,210.7
guest_198,hotel_244,141.57
guest_1308,hotel_250,292.04
guest_906,hotel_282,212.08
guest_2848,hotel_89,200.0
guest_2709,hotel_294,140.0
guest_3274,hotel_178,234.78
guest_145,hotel_173,80.50999999999999
guest_2579,hotel_15,48.72
guest_2702,hotel_154,208.98
guest_1463,hotel_386,160.95
guest_264,hotel_162,208.98000000000002
guest_2343,hotel_176,291.06
guest_3514,hotel_61,142.87
guest_3153,hotel_57,124.61999999999999
guest_734,hotel_61,136.59
guest_2316,hotel_321,49.14
guest_3806,hotel_371,161.28
guest_3548,hotel_126,167.04
guest_192,hotel_327,196.07999999999998
guest_1666,hotel_2,87.39999999999999
guest_89,hotel_34,172.0
guest_3219,hotel_147,233.42999999999998
guest_3422,hotel_153,78.3
guest_3746,hotel_12,217.28
guest_3618,hotel_170,78.11999999999999
guest_2779,hotel_316,179.51999999999998
guest_158,hotel_200,150.66
guest_757,hotel_43,262.08
guest_1874,hotel_161,173.70000000000002
guest_2714,hotel_73,238.28
guest_3412,hotel_16,95.94999999999999
guest_3489,hotel_9,192.95
guest_1632,hotel_385,205.20000000000002
guest_1137,hotel_80,236.60999999999999
guest_583,hotel_115,219.6
guest_492,hotel_64,195.94
guest_2903,hotel_72,215.04999999999998
guest_3200,hotel_55,236.18
guest_610,hotel_311,250.47
guest_720,hotel_246,111.76
guest_861,hotel_24,49.29
guest_642,hotel_170,82.77
guest_396,hotel_30,98.94
guest_3117,hotel_6,56.26
guest_3714,hotel_335,168.3
guest_2605,hotel_53,45.92
guest_3338,hotel_68,140.14000000000001
guest_1689,hotel_351,103.32000000000001
guest_2108,hotel_125,105.3
guest_1163,hotel_314,246.53
guest_2537,hotel_347,194.4
guest_2139,hotel_93,267.9
guest_3389,hotel_22,56.120000000000005
guest_2013,hotel_3,131.13
guest_1773,hotel_227,198.99
guest_2390,hotel_67,195.03
guest_3729,hotel_98,198.99
guest_2442,hotel_61,150.72
guest_1599,hotel_238,77.44
guest_1589,hotel_246,121.92
guest_2110,hotel_271,149.64
guest_1105,hotel_230,287.03999999999996
guest_1291,hotel_273,64.02
guest_2006,hotel_391,162.0
guest_2125,hotel_389,96.03999999999999
guest_2589,hotel_385,186.96
guest_2814,hotel_171,135.27
guest_1360,hotel_18,275.52
guest_3950,hotel_11,194.35999999999999
guest_762,hotel_361,210.23999999999998
guest_1559,hotel_391,194.0
guest_1471,hotel_400,129.05
guest_3480,hotel_322,210.68
guest_3895,hotel_19,110.74
guest_2894,hotel_106,246.51
guest_3104,hotel_286,180.09
guest_962,hotel_272,171.0
guest_1372,hotel_209,205.04
guest_678,hotel_63,269.7
guest_201,hotel_180,181.44
guest_2797,hotel_235,110.16000000000001
guest_1029,hotel_69,227.7
guest_2734,hotel_351,102.06
guest_2408,hotel_138,197.16
guest_2726,hotel_32,147.92
guest_1401,hotel_324,271.65999999999997
guest_3911,hotel_105,121.44000000000001
guest_3796,hotel_275,149.45999999999998
guest_181,hotel_126,186.24
guest_3558,hotel_39,235.64
guest_1989,hotel_59,96.28
guest_307,hotel_49,45.5
guest_212,hotel_299,149.6
guest_3633,hotel_194,94.30000000000001
guest_410,hotel_292,112.5
guest_1209,hotel_321,53.46
guest_1683,hotel_131,244.44
guest_1787,hotel_364,176.0
guest_2925,hotel_30,86.7
guest_2736,hotel_209,216.69
guest_3968,hotel_267,242.73
guest_3350,hotel_308,258.24
guest_3197,hotel_155,57.85
guest_3827,hotel_172,132.0
guest_1207,hotel_329,239.0
guest_3238,hotel_366,99.6
guest_2933,hotel_290,184.0
guest_821,hotel_364,156.64000000000001
guest_2061,hotel_222,189.42000000000002
guest_3672,hotel_356,168.48000000000002
guest_622,hotel_137,88.32
guest_1944,hotel_7,65.55
guest_97,hotel_285,201.76
guest_2175,hotel_376,202.29999999999998
guest_2532,hotel_249,55.86
guest_882,hotel_392,174.29999999999998
guest_337,hotel_71,168.0
guest_135,hotel_261,175.56
guest_3722,hotel_242,54.72
guest_3293,hotel_30,86.7
guest_318,hotel_378,157.14000000000001
guest_2851,hotel_386,177.6
guest_1741,hotel_350,54.879999999999995
guest_1134,hotel_132,161.28
guest_1191,hotel_180,185.92
guest_3375,hotel_361,201.48000000000002
guest_1339,hotel_167,47.3
guest_2770,hotel_146,207.92000000000002
guest_191,hotel_262,61.2
guest_519,hotel_264,136.17000000000002
guest_2536,hotel_106,246.51
guest_1389,hotel_100,158.4
guest_1757,hotel_124,214.2
guest_518,hotel_212,174.25
guest_2394,hotel_76,119.26
guest_3783,hotel_278,273.42
guest_2330,hotel_283,61.06
guest_3406,hotel_117,276.36
guest_1411,hotel_354,49.4
guest_42,hotel_399,252.76
guest_3236,hotel_254,226.38
guest_2055,hotel_119,208.04999999999998
guest_820,hotel_195,76.14
guest_2659,hotel_27,275.08
guest_2929,hotel_3,122.67
guest_1908,hotel_383,158.42000000000002
guest_2149,hotel_88,74.25
guest_1526,hotel_385,218.88
guest_1491,hotel_275,147.86999999999998
guest_1003,hotel_253,253.89
guest_1034,hotel_287,134.4
guest_3843,hotel_320,52.08
guest_662,hotel_165,96.89999999999999
guest_522,hotel_155,56.55
guest_1949,hotel_95,275.41999999999996
guest_1320,hotel_398,100.98
guest_2961,hotel_289,277.3
guest_1536,hotel_221,179.27
guest_3158,hotel_344,97.02
guest_2338,hotel_147,220.88
guest_2873,hotel_159,206.91
guest_3786,hotel_396,178.07999999999998
guest_2224,hotel_113,86.67
guest_2780,hotel_198,84.0
guest_3737,hotel_309,113.46
guest_2389,hotel_172,125.39999999999999
guest_2295,hotel_208,79.38
guest_3694,hotel_133,156.87
guest_3996,hotel_190,50.0
guest_2488,hotel_201,268.0
